Nr	Well	Drug	Conc	ConcMock	Category	Class	Target	Action
1	A1	Water_1	0	1	Water	Water	Water	NA
2	A2	Water_1	0	2	Water	Water	Water	NA
3	A3	1-Methyluric acid	91.1	1	Human metabolite	Human metabolite	Human metabolite	NA
4	A4	1-Methyluric acid	45.5	2	Human metabolite	Human metabolite	Human metabolite	NA
5	A5	2,3-DHBA	154.1	1	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
6	A6	2,3-DHBA	77.1	2	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
7	A7	2'-2'-Bipyridyl	78.1	1	Research compound	Research compound	Research compound	NA
8	A8	2'-2'-Bipyridyl	39	2	Research compound	Research compound	Research compound	NA
9	A9	4-Aminobenzoic acid	68.6	1	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
10	A10	4-Aminobenzoic acid	34.3	2	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
11	A11	4-aminosalicylic acid	153.1	1	Antibiotic	Antifolate	Folate synthesis	Static
12	A12	4-aminosalicylic acid	76.6	2	Antibiotic	Antifolate	Folate synthesis	Static
13	A13	A22	1.4	1	Antibiotic	Cell-wall	Cell-wall	Static
14	A14	A22	0.68	2	Antibiotic	Cell-wall	Cell-wall	Static
15	A15	Acetylsalicylic acid	180.2	1	Human drug	Human drug	Human drug	NA
16	A16	Acetylsalicylic acid	90.1	2	Human drug	Human drug	Human drug	NA
17	A17	Adrenalin	109.8	1	Human metabolite	Human metabolite	Human metabolite	NA
18	A18	Adrenalin	54.9	2	Human metabolite	Human metabolite	Human metabolite	NA
19	A19	Amikacin	0.59	1	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
20	A20	Amikacin	0.29	2	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
21	A21	Amoxicillin	2	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
22	A22	Amoxicillin	1	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
23	A23	Azithromycin	2.2	1	Antibiotic	Macrolide	Protein-synthesis	Static
24	A24	Azithromycin	1.1	2	Antibiotic	Macrolide	Protein-synthesis	Static
25	B1	Water_1	0	3	Water	Water	Water	NA
26	B2	Water_1	0	4	Water	Water	Water	NA
27	B3	1-Methyluric acid	22.8	3	Human metabolite	Human metabolite	Human metabolite	NA
28	B4	1-Methyluric acid	11.4	4	Human metabolite	Human metabolite	Human metabolite	NA
29	B5	2,3-DHBA	38.5	3	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
30	B6	2,3-DHBA	19.3	4	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
31	B7	2'-2'-Bipyridyl	19.5	3	Research compound	Research compound	Research compound	NA
32	B8	2'-2'-Bipyridyl	9.8	4	Research compound	Research compound	Research compound	NA
33	B9	4-Aminobenzoic acid	17.1	3	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
34	B10	4-Aminobenzoic acid	8.6	4	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
35	B11	4-aminosalicylic acid	38.3	3	Antibiotic	Antifolate	Folate synthesis	Static
36	B12	4-aminosalicylic acid	19.1	4	Antibiotic	Antifolate	Folate synthesis	Static
37	B13	A22	0.34	3	Antibiotic	Cell-wall	Cell-wall	Static
38	B14	A22	0.17	4	Antibiotic	Cell-wall	Cell-wall	Static
39	B15	Acetylsalicylic acid	45	3	Human drug	Human drug	Human drug	NA
40	B16	Acetylsalicylic acid	22.5	4	Human drug	Human drug	Human drug	NA
41	B17	Adrenalin	27.5	3	Human metabolite	Human metabolite	Human metabolite	NA
42	B18	Adrenalin	13.7	4	Human metabolite	Human metabolite	Human metabolite	NA
43	B19	Amikacin	0.15	3	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
44	B20	Amikacin	0.07	4	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
45	B21	Amoxicillin	0.5	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
46	B22	Amoxicillin	0.25	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
47	B23	Azithromycin	0.56	3	Antibiotic	Macrolide	Protein-synthesis	Static
48	B24	Azithromycin	0.28	4	Antibiotic	Macrolide	Protein-synthesis	Static
49	C1	Aztreonam	0.044	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
50	C2	Aztreonam	0.022	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
51	C3	Bacitracin	284.5	1	Antibiotic	Membrane	Membrane	Cidal
52	C4	Bacitracin	142.3	2	Antibiotic	Membrane	Membrane	Cidal
53	C5	Benzalkonium	14.9	1	Anti-infective	Anti-infective	Anti-infective	Cidal
54	C6	Benzalkonium	7.4	2	Anti-infective	Anti-infective	Anti-infective	Cidal
55	C7	Berberine	168.2	1	Food	Food	Food	NA
56	C8	Berberine	84.1	2	Food	Food	Food	NA
57	C9	Bleomycin	0.3	1	Antibiotic	DNA	Nucleic acids	Static
58	C10	Bleomycin	0.15	2	Antibiotic	DNA	Nucleic acids	Static
59	C11	Butyrate	55	1	Human metabolite	Human metabolite	Human metabolite	NA
60	C12	Butyrate	27.5	2	Human metabolite	Human metabolite	Human metabolite	NA
61	C13	Caffeine	194.2	1	Food	Food	Food	NA
62	C14	Caffeine	97.1	2	Food	Food	Food	NA
63	C15	Catechin	145.1	1	Food	Food	Food	NA
64	C16	Catechin	72.6	2	Food	Food	Food	NA
65	C17	CCCP	5.1	1	Research compound	Research compound	Research compound	NA
66	C18	CCCP	2.6	2	Research compound	Research compound	Research compound	NA
67	C19	Cefaclor	0.92	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
68	C20	Cefaclor	0.46	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
69	C21	Cefotaxime	0.01	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
70	C22	Cefotaxime	0.0048	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
71	C23	Cefsulodin	13.9	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
72	C24	Cefsulodin	6.9	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
73	D1	Aztreonam	0.011	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
74	D2	Aztreonam	0.0054	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
75	D3	Bacitracin	71.1	3	Antibiotic	Membrane	Membrane	Cidal
76	D4	Bacitracin	35.6	4	Antibiotic	Membrane	Membrane	Cidal
77	D5	Benzalkonium	3.7	3	Anti-infective	Anti-infective	Anti-infective	Cidal
78	D6	Benzalkonium	1.9	4	Anti-infective	Anti-infective	Anti-infective	Cidal
79	D7	Berberine	42	3	Food	Food	Food	NA
80	D8	Berberine	21	4	Food	Food	Food	NA
81	D9	Bleomycin	0.076	3	Antibiotic	DNA	Nucleic acids	Static
82	D10	Bleomycin	0.038	4	Antibiotic	DNA	Nucleic acids	Static
83	D11	Butyrate	13.8	3	Human metabolite	Human metabolite	Human metabolite	NA
84	D12	Butyrate	6.9	4	Human metabolite	Human metabolite	Human metabolite	NA
85	D13	Caffeine	48.5	3	Food	Food	Food	NA
86	D14	Caffeine	24.3	4	Food	Food	Food	NA
87	D15	Catechin	36.3	3	Food	Food	Food	NA
88	D16	Catechin	18.1	4	Food	Food	Food	NA
89	D17	CCCP	1.3	3	Research compound	Research compound	Research compound	NA
90	D18	CCCP	0.64	4	Research compound	Research compound	Research compound	NA
91	D19	Cefaclor	0.23	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
92	D20	Cefaclor	0.11	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
93	D21	Cefotaxime	0.0024	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
94	D22	Cefotaxime	0.0012	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
95	D23	Cefsulodin	3.5	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
96	D24	Cefsulodin	1.7	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
97	E1	Cerulenin	10	1	Anti-infective	Anti-infective	Anti-infective	NA
98	E2	Cerulenin	5	2	Anti-infective	Anti-infective	Anti-infective	NA
