"dmarA_EVC_1"	"dmarA_EVC_2"	"dmarA_pacrAB_1"	"dmarA_pacrAB_2"	"dmarA_pmarRAB_1"	"dmarA_pmarRAB_2"	"dmarA_pmicF_1"	"dmarA_pmicF_2"	"dmarA_pompF_1"	"dmarA_pompF_2"	"dmarA_prob_1"	"dmarA_prob_2"	"dmarA_psoxS_1"	"dmarA_psoxS_2"	"dmarA_ptolC_1"	"dmarA_ptolC_2"
"1-Methyluric acid1"	-16.9540283980103	16.9540283980095	38.6022325013337	40.2407374898383	-105.135210549832	343.979193565542	109.931192192657	-97.3589009027025	4956.08803536246	4457.64661273648	-25.1675932817359	88.0132261332487	1449.01856898687	1074.39363726978	37.3739220261225	-6.07979374501099
"1-Methyluric acid2"	12.2256829780005	-12.2256829780013	-64.8708310446976	-11.9885826290554	-875.061523545158	-771.031225343659	-29.9146326132762	152.196046628229	2685.38358069156	-2361.90920040178	-191.83738550136	-60.2283376027979	782.458824768738	1559.95936503512	43.8391519309223	-23.0864655437492
"1-Methyluric acid3"	-28.9477641715862	28.9477641715853	14.9886363760778	174.255518512863	-607.518878531067	122.329679897503	-19.1444854081536	152.179523044257	1879.60053365554	6320.65158271047	237.697366762196	71.3945414522289	2316.28685661472	1940.78141435784	-30.543214932437	38.477733215621
"1-Methyluric acid4"	-26.0205927365247	26.0205927365239	-0.595845785534436	111.073252094126	-467.110693465836	-145.376569277514	109.699718610841	84.3282523550707	6516.61204553471	4147.18175495599	160.826461173441	62.0268920578042	1891.16371805323	1813.96462399099	-24.3662868756988	56.3933009688364
"2-2-Bipyridyl1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-2-Bipyridyl2"	88.2357170334725	-88.2357170334732	77.3391083399923	198.848135177674	3589.66021835323	3525.31635819769	743.77293314415	1025.065621081	-9651.85777185272	-13761.9491822659	96.3746614207546	29.5213368174893	-4431.47932406991	-3761.20486581157	-120.019747956172	-67.3791769258592
"2-2-Bipyridyl3"	24.0135563044314	-24.0135563044323	-95.5202349376822	125.800247069856	814.766971367643	1020.8828065933	714.818101263401	403.14661412284	-10918.6079459387	-4279.89620515775	126.399660285518	78.2997912929313	-1546.58905397519	-1687.71593835439	-38.8875512408464	-129.890628548003
"2-2-Bipyridyl4"	24.7180939506115	-24.7180939506123	-63.2305443207067	6.42808120512944	-48.251449687179	1030.94380265327	292.033709967112	124.558086751655	-7747.65995646586	-1368.74654074679	274.9776101902	-51.627137615247	352.446739648487	226.298441918531	-95.9169432988562	-9.94288106056371
"2,3-DHBA1"	13.3736552390843	-13.3736552390852	-41.146042156554	-18.64750273147	611.873552928877	1396.73141572494	-42.0850019645346	-70.0836599427815	3737.56134647888	1417.33976594091	171.471833842779	88.5494857319122	1218.62800032792	1935.04481607759	62.8155819342608	46.3797878128036
"2,3-DHBA2"	0.246732409958781	-0.246732409959691	-42.3848817266845	-62.4553456639085	-330.335659696543	-394.214262221934	-4.323659043161	14.1306282215384	-1846.56898864832	-2989.95636309933	-7.38336860148138	-292.266504856482	803.062910961221	1570.84758198667	43.6815264624742	-21.027726545914
"2,3-DHBA3"	-60.0151662439183	60.0151662439174	2.80379566929736	94.8216122902852	-289.27845391166	887.364998971525	-120.345981584102	11.6031191604151	1947.09984400301	-30.946841025856	-208.050523035547	-258.820866865921	2083.72647294223	1869.69896460456	-1.9289774386998	66.9494879391806
"2,3-DHBA4"	62.4643035527552	-62.464303552756	-132.058242810737	-36.8005025264371	-287.804377756524	1096.68432777008	60.8929669926691	-2.53420517029008	-456.987652424599	2302.27503540687	5.12805247008623	-64.3647982899936	1434.93680824666	2255.79141350449	-34.7803564370939	2.05397790899855
"4-Aminobenzoic acid1"	37.6001116756648	-37.6001116756655	169.529464729829	115.222192636725	1792.97561259854	1622.29980906677	540.316072848563	237.224099055783	9860.93892747883	9187.75538119651	338.889288996149	843.662519970497	1751.73559319417	3311.51358023035	150.413562023185	221.694546863647
"4-Aminobenzoic acid2"	23.7507637633451	-23.750763763346	22.9080194503015	-141.77434312708	-548.978355798441	-463.021251256851	322.095750084288	28.3235178834184	1688.46313308545	-2248.43405976934	184.496898696691	40.4239938221797	1126.98965309421	1979.52642127223	145.53860785454	-76.3565948560283
