"dsoxS_EVC_1"	"dsoxS_EVC_2"	"dsoxS_pacrAB_1"	"dsoxS_pacrAB_2"	"dsoxS_pmarRAB_1"	"dsoxS_pmarRAB_2"	"dsoxS_pmicF_1"	"dsoxS_pmicF_2"	"dsoxS_pompF_1"	"dsoxS_pompF_2"	"dsoxS_prob_1"	"dsoxS_prob_2"	"dsoxS_psoxS_1"	"dsoxS_psoxS_2"	"dsoxS_ptolC_1"	"dsoxS_ptolC_2"
"1-Methyluric acid1"	22.401293362639	-22.4012933626398	279.175111772242	-201.21285846241	-415.734699038432	-892.49658387861	12.2817089882374	1534.10172904287	7103.85857298126	-3040.21708373945	-104.42640935957	-296.723021639644	-5221.50731255276	3294.83776982859	15.3499224386572	54.5784592977259
"1-Methyluric acid2"	33.8156666770047	-33.8156666770056	329.926497194708	-248.058891449041	-1320.79454274152	-1039.46326388023	287.238333182744	848.245304679495	-758.191237315608	-5400.75480971908	-363.202368628301	-223.751678047904	-4586.1277022555	1149.82211218456	70.7058053705035	-22.0702926068093
"1-Methyluric acid3"	22.772078178847	-22.7720781788479	124.90624828377	-136.990243105153	-607.660215955535	-856.930888006809	-146.588961571571	-264.027603111864	786.838612333901	3341.04342546487	-322.938859017718	-228.612715367473	-394.608505488668	2183.03337245278	-108.088038330646	-2.79096168524956
"1-Methyluric acid4"	-8.43995500137487	8.43995500137447	263.350423603636	-46.9806423247699	-425.020369157197	-536.854906967973	70.5673700506768	379.996605785639	4473.17038878893	677.405379826108	101.12347029052	-80.7504527592655	-529.625610669977	2728.58648475832	-19.4081247568689	48.7695610645873
"2-2-Bipyridyl1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-2-Bipyridyl2"	21.0402087626934	-21.0402087626948	-247.756082707752	-42.5393659830918	3547.15201293372	4966.75660013161	17051.0728671613	20028.7512007096	-3201.32230701619	7776.95348789881	-192.064187535828	1070.09936385806	-6428.17383032464	-9365.93731663665	49.4486323087876	203.684485243816
"2-2-Bipyridyl3"	34.0544487804357	-34.054448780436	-235.685101313008	-602.194010405439	-241.175131277208	-121.786799844239	6280.57826053053	5158.16494875293	2052.57004208676	-5203.03199289987	-213.777316233739	-206.487879860563	-7131.84408033209	-3540.88778612155	-56.1111107287125	-40.6428426295711
"2-2-Bipyridyl4"	118.60238874847	-118.60238874847	-21.2607848407176	-401.34856477127	-879.64221319967	-756.771714119511	1237.35844175301	1406.11454777522	-1567.99859141553	-3307.02700811782	-285.572684822306	64.3508630885797	-4136.3643694253	-462.304402422666	37.2745886162168	-10.1466771103066
"2,3-DHBA1"	-62.8679534229465	62.867953422946	202.956782740301	15.74549799445	773.582547162687	1762.57255753822	4918.21972279796	3529.80037405432	11551.7469272676	883.93456065148	-350.94938415387	-301.595689437995	-2768.31218116097	5692.57135639677	0.171297507480915	33.017571935265
"2,3-DHBA2"	27.3485772352872	-27.3485772352877	215.078530680542	-227.972523792547	21.7132389733179	-316.398820595403	1585.53327383534	2256.13798094993	3610.22633835832	-4373.1672963236	-450.617942923758	-115.846883499549	-3426.92454722387	5878.75296044609	82.4038040754605	-17.6325074041951
"2,3-DHBA3"	90.8603603578317	-90.8603603578322	287.542121283456	-207.088632734185	-185.843961918291	-96.0082583067233	569.816023023014	1014.94469530782	3936.91830311282	-3734.15097197621	-325.253577538777	-171.092345389617	892.196382560363	4858.31269172002	-42.6421981631759	-32.6691722016435
"2,3-DHBA4"	62.6461537846824	-62.6461537846828	632.216345939335	-37.2437476480493	498.219371150605	382.89442365134	776.936976268219	1047.23004465465	9137.01271257368	-1832.62282083063	-214.14923091531	41.9760656545122	3043.65190641479	3751.73885852829	-81.602303777426	89.1098146558042
"4-Aminobenzoic acid1"	-131.165564142112	131.165564142111	1058.93374473246	447.447602771847	1072.12946213948	2654.57966613922	2830.97006508955	3702.98713001439	-737.986250614907	7262.36055126158	464.138144026095	1078.79935748497	-2151.56854412204	-3295.04713143822	87.3317764825301	80.1375083240381
"4-Aminobenzoic acid2"	-8.51357648642886	8.51357648642824	568.032040998227	-221.902756042515	144.93334762101	260.171448285846	3118.37997633845	2001.32669319426	6072.09575453631	-4278.97307202087	-305.033694042907	75.2935693495174	-3060.28302098528	5148.66057618399	179.037066873534	81.2375193665905
"4-Aminobenzoic acid3"	98.8503202943948	-98.8503202943955	182.782585378548	68.6574508995575	-235.258013448424	-2.88503189086168	881.58022694792	1227.79999014823	2746.30881909079	-584.487681942217	-7.8567689424583	171.146541885029	2230.81216524466	1498.63240880912	-43.5445468894386	-35.0645824164544
"4-Aminobenzoic acid4"	38.9397273713145	-38.9397273713151	214.578126058404	92.6946452813356	-188.161731312461	412.39320399962	1807.51900042528	547.393166938956	3463.44062418527	464.294206804323	7.57362137143605	306.402562506351	168.89771774218	3829.50250992318	47.870610461402	74.1086053157279
"4-aminosalicylic acid1"	-32.0352864814206	32.0352864814203	756.026165049882	36.3153869126597	2078.784448968	2757.553066528	3909.33929666332	4685.5817001656	8505.24894128473	-1152.95906416243	-91.301238304193	97.8968276826924	-4284.86058942343	4682.46561366016	143.039899099688	102.397470247257
"4-aminosalicylic acid2"	-74.7518257842056	74.7518257842049	51.0309003081684	-104.74072407617	88.8682052162003	-555.730280506154	1365.04254363852	610.093749211106	-325.360587332863	-6723.83879409993	-274.923514886805	24.2336506539809	-3461.92981883753	4575.34044956896	-43.2819709979224	-29.3449571147745
"4-aminosalicylic acid3"	-18.9441985970404	18.94419859704	155.742347998563	13.5916586667422	399.132012114218	233.798738689223	956.454222083245	165.988466107353	2627.48050365019	-384.424985996066	94.1300932926565	-25.1259575225956	-155.374584584075	3754.41409583113	-35.4427585396141	125.849634546106
"4-aminosalicylic acid4"	30.1750730167158	-30.1750730167162	84.9432344481113	-41.1973402083993	-115.79837397648	685.7689470429	230.102453932774	963.957011310968	5647.09466874415	292.518334002038	-244.988611686845	98.4323005533022	-535.084147383433	4831.55149653312	-18.5152855433338	0.569007971329711
"A221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A222"	-115.680829978173	115.680829978173	-824.25743129261	-364.577328652422	-327.387260901607	-1919.04174093683	-227.820700524745	-574.954492737434	-9542.25297974946	-12100.1025118343	-772.325668542078	-597.240199092356	-3377.82963803919	-1969.04408677363	-157.981866918902	-89.8047420128786
