"drob_EVC_1"	"drob_EVC_2"	"drob_pacrAB_1"	"drob_pacrAB_2"	"drob_pmarRAB_1"	"drob_pmarRAB_2"	"drob_pmicF_1"	"drob_pmicF_2"	"drob_pompF_1"	"drob_pompF_2"	"drob_prob_1"	"drob_prob_2"	"drob_psoxS_1"	"drob_psoxS_2"	"drob_ptolC_1"	"drob_ptolC_2"
"1-Methyluric acid1"	20.1448033553318	-20.1448033553321	-184.515154399688	-212.501054546583	-491.286878101775	-835.521373525379	-35.3029299681178	-170.303982613873	414.815142714186	-2889.09988627145	-112.448380332887	-225.333806500625	95.5319000037953	604.236779166949	37.2194280679682	56.6609217701111
"1-Methyluric acid2"	123.062717711152	-123.062717711152	-589.687962572043	-262.651864161469	-780.538077648303	-413.059011703047	-100.538178486427	-201.013710676837	-12271.0604354781	-7224.89129909493	-548.214056639378	-431.40611334921	186.369201971777	575.206570228044	-43.2524770368428	-103.20179566081
"1-Methyluric acid3"	41.978861965749	-41.9788619657493	-439.437899311897	-35.4437246694731	-139.591625597489	-642.282690629552	164.470500167509	86.2939439823128	7672.03252319956	2973.4463254994	129.45970065794	-71.1630646870487	1820.97582521005	1061.50272414104	155.160214986284	32.3776069726294
"1-Methyluric acid4"	71.7245752396351	-71.7245752396353	-252.831210825048	-99.306133982667	-38.2854555686504	-136.821889709786	117.223258912902	-111.493208547574	5394.56653617079	862.435260707687	67.3868985232089	53.1913969077111	1414.72171651967	680.93262548463	9.80909374004125	5.6540577834532
"2-2-Bipyridyl1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-2-Bipyridyl2"	-153.952962994195	153.952962994194	-642.732761702769	166.52738470494	2043.12705644728	2343.44880968727	6847.29670307618	7214.26120846305	-6864.86146997487	-5819.43442147287	60.4447949483754	62.296977714032	-4697.06059832256	-4505.73410033234	3.18775620948981	100.242565636925
"2-2-Bipyridyl3"	-60.4056362864455	60.4056362864454	-597.376737080197	-497.014283923964	-531.779759447341	-432.042423993932	385.417889061804	564.996076887466	-4392.10615453952	-7205.40186454201	-260.543362893087	-10.7182479044559	-2285.21955061874	-1623.40218649136	-48.7032582804083	-68.9224095494377
"2-2-Bipyridyl4"	43.1046788009794	-43.1046788009795	-684.78783603376	-372.647461936664	-11.4120754095297	-236.667886480198	-13.4142898157045	40.5221081347538	-1107.90893796149	-6103.52461498883	-141.708426759694	-157.964211642071	61.4607215776614	-172.576644733286	-63.0492561958011	1.68653320625589
"2,3-DHBA1"	21.7773664103192	-21.7773664103196	-56.0957883966928	-190.805756519862	731.693880615894	2462.96885211967	1427.56207281191	1622.30460678814	-4011.07430351986	6957.74464529486	-260.822934094657	-297.898357929186	597.229913821946	649.182612859017	23.6031701470022	-2.55834263244094
"2,3-DHBA2"	-22.0163439369541	22.0163439369538	-313.801675572205	-329.736941190009	725.199417751606	371.598505768604	573.015025230194	734.576846734591	-1804.64974142734	-1535.87373929298	-137.087329441349	70.4056625350713	1508.79814767392	953.348868173177	84.519745877631	117.280220124677
"2,3-DHBA3"	-29.929933213842	29.9299332138417	-163.095134968551	-384.197938492998	644.079724750331	91.3885323036811	227.05031774946	315.680849324011	1791.01214294043	-1298.05804515446	28.2040599053346	180.81057585397	2210.42578372903	399.077315057347	32.9930396189852	-20.4422690486158
"2,3-DHBA4"	14.1113824314989	-14.1113824314991	-216.926217035582	-38.5756184184772	1203.99265565744	204.988046995565	447.78427430134	211.987614593001	6575.68916977217	1212.2978863917	159.271360464473	-166.003730872834	1220.71978560917	977.554034381365	-43.5107695687366	138.079087309722
"4-Aminobenzoic acid1"	150.183992337203	-150.183992337203	779.670919320732	1205.37195540756	671.143274018715	2028.59589853956	1197.63750229583	1576.9930670335	8466.44476774207	8131.19530098562	307.771498809104	2175.42331901857	2451.37217650555	791.028212267262	61.8358498474988	5.94992187076969
"4-Aminobenzoic acid2"	135.410420769388	-135.410420769388	-347.011345119062	-258.899252356954	-536.451609577945	15.3374834498395	395.372299247853	298.136361605576	-12743.2000156455	-3471.37864183731	-314.454787810781	199.041674746431	1653.99806863563	1254.0544808009	-25.4753535353687	42.3392517335307
"4-Aminobenzoic acid3"	48.1628213340141	-48.1628213340143	41.6622832347616	217.292177207795	262.371147961544	1008.88170249281	296.941605837144	196.972594903285	6804.34100964904	3502.16733322955	154.111537796385	390.5392778962	1868.21470063084	1497.15173037864	119.650457872562	-13.356423430315
"4-Aminobenzoic acid4"	-13.9009574991242	13.9009574991239	138.169229140502	-51.4095786996313	411.39607416761	-74.4260580781611	80.6354119190371	-84.753420092042	-1737.56177291351	2645.65623621681	115.181181190304	221.347627007348	1713.39872899287	969.042451220609	-63.9807431951389	27.0251386054304
"4-aminosalicylic acid1"	3.93220840622951	-3.93220840622996	-218.516341000167	211.384462504978	837.521065588168	1916.00471892132	1628.05695775772	2075.1935772433	-4770.97089801893	7046.19131422121	-344.595255540169	239.037335947246	833.498151289285	1586.39047699637	-29.3334066092369	59.5560251806551
"4-aminosalicylic acid2"	33.8263523212996	-33.8263523213	-290.638593477594	-72.7191119187185	153.159723767226	962.39783612312	736.573101417616	877.939746079978	-7097.83386583857	-457.887991526637	-223.320893349093	38.0188260061238	2050.40184106479	1474.69673183262	129.491101317977	104.063203473524
"4-aminosalicylic acid3"	41.6947782951224	-41.6947782951227	267.615469186004	-2.14215223340648	871.160305925124	308.49494066698	349.166598860675	258.217696630442	9848.33429210391	3461.64175753009	46.036872381665	306.00628768794	2401.59513357885	1784.49989841321	-4.08172649564574	24.169677386443
"4-aminosalicylic acid4"	-5.75691788738982	5.75691788738965	-122.584565182796	-1.56007518637171	281.144914832454	127.029347431686	193.566211601815	189.170627588328	2563.39427945568	4802.98003379949	-176.910984096578	-49.5355764558094	2193.23615541155	1897.6255278248	212.616313050949	25.9652920061528
